rubro,codigo,descripcion
galletitas,7791492,Tentaciones frutilla
galletitas,7791493,Chocolinas original 250g
galletitas,7791500,Tostadas Riera Dulces
galletitas,7791501,Tostadas Riera Light
galletitas,7791502,Tostadas Riera Sin Sal
galletitas,7791503,Tostadas Riera Clasicas
galletitas,7791537,Galletitas Cindor 120g
galletitas,7791538,Galletas Cerealmix 180 g Chocolate
galletitas,7791539,Galletas Cerealmixx 180 g pasas
galletitas,7791540,Cerealmix avena y manzana 180g
galletitas,7791541,Galletas Cerealmixx 180 g Granola
galletitas,7791542,Galletas Cerealmixx 230 g Pasas
galletitas,7791543,Galletas Cerealmixx 230 g Cacao y frutos
galletitas,7791544,Galletas Cerealmixx 230 g Semillas y chip
galletitas,7791549,Terepin Soft Limon
galletitas,7791550,Terepin Soft frutillas
galletitas,7791561,Vainillas Massarini
galletitas,7791562,Magdalenas sabor vainilla
galletitas,7791566,Don Satur Dulces Negras
galletitas,7791582,Galletitas Media Tarde 110g
galletitas,7791583,Tostadas Riera Fibras
galletitas,7791597,Galletitas media tarde x 3
galletitas,7791607,Oreo Bañada x 2
galletitas,7791613,"Galletas de arroz Dhu, Crack sin sal"
galletitas,7791620,Bizcochitos Clasicos 0% Trans La Cumbre
galletitas,7791624,Recetas de la abuela Bizcochos axzucarados x 200g
galletitas,7791625,Recetas de la abuela 200g  Bizcochitos de grasa
galletitas,7791626,Recetas de la abuela 200g  scones
galletitas,7791627,Recetas de la abuela 200g pepas
galletitas,7791666,Bizcochos Campeon
galletitas,7791671,Mini Alfajores Solitas 130 g
galletitas,7791672,Mini Alfajores Solitas 300g
galletitas,7791687,Toddy Extra 100 g
galletitas,7791688,Terrepin Soft Chocolate
galletitas,7791690,Criollitas sin sal
galletitas,7791702,Oblea Arroz Gallo 20 g
galletitas,7791736,Ronda Hojalmar 150g
galletitas,7791752,Cerealitas Semillas de lino 200 g
galletitas,7791753,Criollitas x 3
galletitas,7791759,Frutigran Avena y Pasas
galletitas,7791760,Frutigran  Chips de Chocolate
galletitas,7791761,Frutigran con Salvado
galletitas,7791763,Oreo frutilla 117gr
galletitas,7893432,Galletitas Mini Pitusas Chocolate 160 g
galletitas,7893433,Galletitas Mini Pitusas Frutilla 160 g
galletitas,7893434,Galletitas Mini Pitusas Limon 160 g
galletitas,7893451,Saladix Jamon 100 g
galletitas,7893457,Club Social Original x 43g
galletitas,7893458,Club Social pizza x 23.5
galletitas,7893459,Club Social Queso x 43g
galletitas,7893460,Club Social Pizza x 43g
galletitas,7893461,Express Clasicas por 103 g
galletitas,7893470,Magdalenas vainilla rellenas con dulce de leche
galletitas,7893542,galletitas club social original
galletitas,7893584,Galletitas Mini Pitusas Vainilla 160g
galletitas,7893585,Galletitas Mini Pitusas  chocolate 160g
galletitas,7893586,Pepas Terepín Batata
galletitas,7893596,galletitas club social integral
galletitas,7893603,Hpgareñas Sésamo
galletitas,7893626,Saladix Parmesano 100 gr
galletitas,7893642,frutigran Semillas Chia y Lino
galletitas,7893645,Frutigran avena y frutos rojos
galletitas,7893667,Tortitas Chocolate
galletitas,7893668,Tortitas Black
galletitas,7893698,Oreo bañada por unidad
galletitas,7893715,Pepitos White
galletitas,7893756,madalenas Dulcypas
galletitas,7893815,Riera Salvador 200g
galletitas,7893854,Formis animales 102g
galletitas,7893862,Galletas Quaker con Chispas de Chocolate 264 grs
galletitas,7893863,Toddy chocolat Mousse de Dulce de Leche 115g
galletitas,7893912,Hojaldrada triangulitos
galletitas,7893913,Hojaldradas Larguita
galletitas,7893932,Galletas de arroz Dhum Crack Sal
galletitas,7894006,Trio pepas chocotrio 300g
galletitas,7894055,bizcochos bay biscuit 140g
galletitas,7894082,Galletas de arroz Dhum Crack dulces
galletitas,7894083,Lenguitas Majo
galletitas,7894084,Galleta Marinera
galletitas,7894085,Grissines Majo
galletitas,7894086,Oreo clasica 117g
galletitas,7894087,Oreo chocolate 118g
galletitas,7894115,Formis dulce de leche 108g
galletitas,7894116,Formis chocolate 108g
galletitas,7894117,Formis dulce de leche 72g
galletitas,7894122,Barrita Crowie chocolate
galletitas,7894123,Barrita Crowie limon
galletitas,7894129,cereal mix frutilla y chia 230 grs
galletitas,7894165,hogareñas sesamo 167 grs
galletitas,7894182,Celosas Galletitas
galletitas,7894185,Formis frutilla 108g
galletitas,7894186,Cerealitas Granola 21 grs
galletitas,7894187,Cerealitas Avena Chocolate 231 grs
